# [MS-ERREF] 2.2 Win32 Error Codes, extracted by extract_ms_erref.py --table win32.
# Source: https://learn.microsoft.com/en-us/openspecs/windows_protocols/ms-erref/18d8fbe8-a967-4f1c-ae50-99ca8e491d2d
# Columns: code (hex, no prefix), symbolic name, description.
# Rows are in specification order; a code may carry more than one name.
00000000	ERROR_SUCCESS	The operation completed successfully.
00000000	NERR_Success	The operation completed successfully.
00000001	ERROR_INVALID_FUNCTION	Incorrect function.
00000002	ERROR_FILE_NOT_FOUND	The system cannot find the file specified.
00000003	ERROR_PATH_NOT_FOUND	The system cannot find the path specified.
00000004	ERROR_TOO_MANY_OPEN_FILES	The system cannot open the file.
00000005	ERROR_ACCESS_DENIED	Access is denied.
00000006	ERROR_INVALID_HANDLE	The handle is invalid.
00000007	ERROR_ARENA_TRASHED	The storage control blocks were destroyed.
00000008	ERROR_NOT_ENOUGH_MEMORY	Not enough storage is available to process this command.
00000009	ERROR_INVALID_BLOCK	The storage control block address is invalid.
0000000A	ERROR_BAD_ENVIRONMENT	The environment is incorrect.
0000000B	ERROR_BAD_FORMAT	An attempt was made to load a program with an incorrect format.
0000000C	ERROR_INVALID_ACCESS	The access code is invalid.
0000000D	ERROR_INVALID_DATA	The data is invalid.
0000000E	ERROR_OUTOFMEMORY	Not enough storage is available to complete this operation.
0000000F	ERROR_INVALID_DRIVE	The system cannot find the drive specified.
00000010	ERROR_CURRENT_DIRECTORY	The directory cannot be removed.
00000011	ERROR_NOT_SAME_DEVICE	The system cannot move the file to a different disk drive.
00000012	ERROR_NO_MORE_FILES	There are no more files.
00000013	ERROR_WRITE_PROTECT	The media is write-protected.
00000014	ERROR_BAD_UNIT	The system cannot find the device specified.
00000015	ERROR_NOT_READY	The device is not ready.
00000016	ERROR_BAD_COMMAND	The device does not recognize the command.
00000017	ERROR_CRC	Data error (cyclic redundancy check).
00000018	ERROR_BAD_LENGTH	The program issued a command but the command length is incorrect.
00000019	ERROR_SEEK	The drive cannot locate a specific area or track on the disk.
0000001A	ERROR_NOT_DOS_DISK	The specified disk cannot be accessed.
0000001B	ERROR_SECTOR_NOT_FOUND	The drive cannot find the sector requested.
0000001C	ERROR_OUT_OF_PAPER	The printer is out of paper.
0000001D	ERROR_WRITE_FAULT	The system cannot write to the specified device.
0000001E	ERROR_READ_FAULT	The system cannot read from the specified device.
0000001F	ERROR_GEN_FAILURE	A device attached to the system is not functioning.
00000020	ERROR_SHARING_VIOLATION	The process cannot access the file because it is being used by another process.
00000021	ERROR_LOCK_VIOLATION	The process cannot access the file because another process has locked a portion of the file.
00000022	ERROR_WRONG_DISK	The wrong disk is in the drive. Insert %2 (Volume Serial Number: %3) into drive %1.
00000024	ERROR_SHARING_BUFFER_EXCEEDED	Too many files opened for sharing.
00000026	ERROR_HANDLE_EOF	Reached the end of the file.
00000027	ERROR_HANDLE_DISK_FULL	The disk is full.
00000032	ERROR_NOT_SUPPORTED	The request is not supported.
00000033	ERROR_REM_NOT_LIST	Windows cannot find the network path. Verify that the network path is correct and the destination computer is not busy or turned off. If Windows still cannot find the network path, contact your network administrator.
00000034	ERROR_DUP_NAME	You were not connected because a duplicate name exists on the network. Go to System in Control Panel to change the computer name, and then try again.
00000035	ERROR_BAD_NETPATH	The network path was not found.
00000036	ERROR_NETWORK_BUSY	The network is busy.
00000037	ERROR_DEV_NOT_EXIST	The specified network resource or device is no longer available.
00000038	ERROR_TOO_MANY_CMDS	The network BIOS command limit has been reached.
00000039	ERROR_ADAP_HDW_ERR	A network adapter hardware error occurred.
0000003A	ERROR_BAD_NET_RESP	The specified server cannot perform the requested operation.
0000003B	ERROR_UNEXP_NET_ERR	An unexpected network error occurred.
0000003C	ERROR_BAD_REM_ADAP	The remote adapter is not compatible.
0000003D	ERROR_PRINTQ_FULL	The print queue is full.
0000003E	ERROR_NO_SPOOL_SPACE	Space to store the file waiting to be printed is not available on the server.
0000003F	ERROR_PRINT_CANCELLED	Your file waiting to be printed was deleted.
00000040	ERROR_NETNAME_DELETED	The specified network name is no longer available.
00000041	ERROR_NETWORK_ACCESS_DENIED	Network access is denied.
00000042	ERROR_BAD_DEV_TYPE	The network resource type is not correct.
00000043	ERROR_BAD_NET_NAME	The network name cannot be found.
00000044	ERROR_TOO_MANY_NAMES	The name limit for the local computer network adapter card was exceeded.
00000045	ERROR_TOO_MANY_SESS	The network BIOS session limit was exceeded.
00000046	ERROR_SHARING_PAUSED	The remote server has been paused or is in the process of being started.
00000047	ERROR_REQ_NOT_ACCEP	No more connections can be made to this remote computer at this time because the computer has accepted the maximum number of connections.
00000048	ERROR_REDIR_PAUSED	The specified printer or disk device has been paused.
00000050	ERROR_FILE_EXISTS	The file exists.
00000052	ERROR_CANNOT_MAKE	The directory or file cannot be created.
00000053	ERROR_FAIL_I24	Fail on INT 24.
00000054	ERROR_OUT_OF_STRUCTURES	Storage to process this request is not available.
00000055	ERROR_ALREADY_ASSIGNED	The local device name is already in use.
00000056	ERROR_INVALID_PASSWORD	The specified network password is not correct.
00000057	ERROR_INVALID_PARAMETER	The parameter is incorrect.
00000058	ERROR_NET_WRITE_FAULT	A write fault occurred on the network.
00000059	ERROR_NO_PROC_SLOTS	The system cannot start another process at this time.
00000064	ERROR_TOO_MANY_SEMAPHORES	Cannot create another system semaphore.
00000065	ERROR_EXCL_SEM_ALREADY_OWNED	The exclusive semaphore is owned by another process.
00000066	ERROR_SEM_IS_SET	The semaphore is set and cannot be closed.
00000067	ERROR_TOO_MANY_SEM_REQUESTS	The semaphore cannot be set again.
00000068	ERROR_INVALID_AT_INTERRUPT_TIME	Cannot request exclusive semaphores at interrupt time.
00000069	ERROR_SEM_OWNER_DIED	The previous ownership of this semaphore has ended.
0000006A	ERROR_SEM_USER_LIMIT	Insert the disk for drive %1.
0000006B	ERROR_DISK_CHANGE	The program stopped because an alternate disk was not inserted.
0000006C	ERROR_DRIVE_LOCKED	The disk is in use or locked by another process.
0000006D	ERROR_BROKEN_PIPE	The pipe has been ended.
0000006E	ERROR_OPEN_FAILED	The system cannot open the device or file specified.
